"id_num";"ind_accda";"nombre_ind_accd";"ind_acciv";"nombre_ind_acciv";"total_mu30df";"total_hg30df";"total_hl30df";"fecha_accidente";"hora_accidente";"mes_1f";"nombre_mes";"anyo";"ccaa_1f";"nombre_ccaa";"provincia_1f";"nombre_provincia";"cod_municipio";"nombre_municipio";"carretera";"km";"sentido_1f";"nombre_sentido";"tipo_via_3f";"nombre_tipo_via";"titularidad_via_2f";"nombre_titularidad_via";"tipo_animal_1f";"nombre_tipo_animal_1f";"tipo_animal_2f";"nombre_tipo_animal_2f";"longitud";"latitud";"geom";"dia_semana";"nombre_dia_semana";"parte_dia";"luna";"prec";"tmin";"tmax";"sol";"uso_suelo";"altitud";"pendiente";"taxonkey";"tipo_dia";"tmed";"imd_total";"maxspeed"
201844072700;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-12-09;"1:15";12;Diciembre;2018;2;Aragón;44;Teruel;0;;A-222;72.25;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-0.8511;40.95948;POINT (-0.8511 40.95948);7;Domingo;Noche;3;0.0;-1.0;16.1;8.3;Monte desarbolado;914.347;8.23;"7705930";Finde;7.550000000000001;2530.0;90
201609002053;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-06-13;"4:10";6;Junio;2016;8;Castilla y León;9;Burgos;0;;N-122;287.4;1;Ascendente;2;Resto vías interurbanas;1;Estatal;8;Jabalí;1;Silvestre;-3.88841;41.62413;POINT (-3.88841 41.62413);1;Lunes;Noche;57;0.2;12.3;28.2;9.4;Cultivos;901.653;0.4485;"7705930";Diario;20.25;4453.0;120
202133154126;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-10-06;"23:40";10;Octubre;2021;3;Asturias, Principado de;33;Asturias;33004;Avilés;N-632;99.7;2;Descendente;2;Resto vías interurbanas;1;Estatal;8;Jabalí;1;Silvestre;-5.93876;43.54952;POINT (-5.93876 43.54952);3;Miércoles;Noche;0;0.0;12.0;18.7;10.1;Cultivos;0.0;0.0;"7705930";Diario;15.35;20052.0;100
202144161163;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-09-11;"22:18";9;Septiembre;2021;2;Aragón;44;Teruel;0;;A-1507;5.336;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-1.34496;40.93467;POINT (-1.34496 40.93467);6;Sábado;Noche;19;0.0;11.8;27.9;8.6;Cultivos;1112.547;1.6075;"7705930";Finde;19.85;10837.0;80
201911081594;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-10-08;"19:00";10;Octubre;2019;1;Andalucía;11;Cádiz;11021;Jimena de la Frontera;A-405;24.6;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;20;Canino;2;Doméstico;-5.43879;36.40426;POINT (-5.43879 36.40426);2;Martes;Día;;0.0;19.7;26.2;10.4;Monte desarbolado;202.938;9.4595;"";Diario;22.95;17564.0;80
202023116394;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-10-29;"19:55";10;Octubre;2020;1;Andalucía;23;Jaén;23095;Villacarrillo;N-322;170.0;2;Descendente;2;Resto vías interurbanas;1;Estatal;20;Canino;2;Doméstico;-3.15848;38.091;POINT (-3.15848 38.091);4;Jueves;Noche;94;0.0;8.7;26.0;0.0;Cultivos;1378.342;25.424500000000002;"";Diario;17.35;9136.0;120
201933096282;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-09-02;"0:15";9;Septiembre;2019;3;Asturias, Principado de;33;Asturias;33066;Siero;A-64;27.5;2;Descendente;1;Autopista y autovía;1;Estatal;8;Jabalí;1;Silvestre;-5.76247;43.38643;POINT (-5.76247 43.38643);1;Lunes;Noche;10;0.0;13.5;22.6;8.6;Artificial;303.351;14.9175;"7705930";Diario;18.05;31275.0;120
202039126941;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-07-29;"18:20";7;Julio;2020;6;Cantabria;39;Cantabria;39012;Cabezón de la Sal;A-8;248.0;1;Ascendente;1;Autopista y autovía;1;Estatal;20;Canino;2;Doméstico;-4.18356;43.32369;POINT (-4.18356 43.32369);3;Miércoles;Día;;0.0;18.3;21.2;0.0;Cultivos;320.938;-9999.0;"";Diario;19.75;16901.0;120
201613004394;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-11-14;"19:50";11;Noviembre;2016;7;Castilla-La Mancha;13;Ciudad Real;13053;Manzanares;CM-4124;30.0;2;Descendente;2;Resto vías interurbanas;2;Autonómica;0;Animal no identificado;0;Animal no identificado;-3.41951;38.98077;POINT (-3.41951 38.98077);1;Lunes;Noche;99;0.0;5.0;14.6;5.9;Cultivos;716.787;7.281499999999999;"";Diario;9.8;3248.0;80
201831065304;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2018-02-17;"23:20";2;Febrero;2018;15;Navarra, Comunidad Foral de;31;Navarra;0;;NA-132;1.6;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-2.0024;42.64878;POINT (-2.0024 42.64878);6;Sábado;Noche;1;0.0;3.8;12.3;2.0;Cultivos;467.58;6.7620000000000005;"7705930";Finde;8.05;10744.0;90
201616005909;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-09-25;"23:30";9;Septiembre;2016;7;Castilla-La Mancha;16;Cuenca;0;;CM-2100;28.5;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-2.19193;39.72842;POINT (-2.19193 39.72842);7;Domingo;Noche;33;0.0;12.6;27.0;8.0;Cultivos;;-9999.0;"7705930";Finde;19.8;23708.0;80
202115141506;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2021-04-11;"19:15";4;Abril;2021;12;Galicia;15;Coruña, A;0;;N-547;84.5;2;Descendente;2;Resto vías interurbanas;1;Estatal;8;Jabalí;1;Silvestre;-8.37325;42.90287;POINT (-8.37325 42.90287);7;Domingo;Día;;0.0;3.6;12.4;5.6;Cultivos;318.39;4.064;"7705930";Finde;8.0;7497.0;120
201933096438;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-03-24;"22:15";3;Marzo;2019;3;Asturias, Principado de;33;Asturias;33076;Villaviciosa;VV-8;5.4;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-5.53327;43.48775;POINT (-5.53327 43.48775);7;Domingo;Noche;88;0.0;4.4;16.7;9.1;Cultivos;277.661;-9999.0;"7705930";Finde;10.55;369.0;80
201924088487;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-05-19;"2:45";5;Mayo;2019;8;Castilla y León;24;León;0;;CL-622;10.3;2;Descendente;2;Resto vías interurbanas;2;Autonómica;5;Corzo;1;Silvestre;-5.64392;42.48038;POINT (-5.64392 42.48038);7;Domingo;Noche;100;0.0;1.0;16.5;12.1;Cultivos;810.603;1.0755;"5220126";Finde;8.75;12671.0;90
201914082612;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-10-23;"12:55";10;Octubre;2019;1;Andalucía;14;Córdoba;0;;A-4;374.2;2;Descendente;1;Autopista y autovía;1;Estatal;20;Canino;2;Doméstico;-4.49058;37.94999;POINT (-4.49058 37.94999);3;Miércoles;Día;;0.7;7.4;15.2;0.3;Cultivos;243.474;6.62;"";Diario;11.3;28126.0;120
201922086825;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2019-01-03;"19:15";1;Enero;2019;2;Aragón;22;Huesca;0;;AP-2;94.0;1;Ascendente;1;Autopista y autovía;1;Estatal;17;Zorro;1;Silvestre;0.11944;41.49656;POINT (0.11944 41.49656);4;Jueves;Noche;9;0.0;0.7;3.3;0.0;Cultivos;297.344;-9999.0;"5219243";Diario;2.0;15091.0;120
201742043947;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2017-12-15;"19:40";12;Diciembre;2017;8;Castilla y León;42;Soria;42020;Almazán;CL-101;67.8;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-2.47102;41.51642;POINT (-2.47102 41.51642);5;Viernes;Noche;10;0.6;0.4;8.2;4.3;Cultivos;1021.393;0.8445;"7705930";Diario;4.3;130.0;90
202033124276;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-10-27;"5:10";10;Octubre;2020;3;Asturias, Principado de;33;Asturias;33044;Oviedo;AS-116;1.5;2;Descendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-5.82922;43.30692;POINT (-5.82922 43.30692);2;Martes;Noche;82;3.4;9.2;19.0;1.2;Cultivos;786.778;21.6705;"7705930";Diario;14.1;24073.0;90
202131151760;0;No es un accidente de daños exclusivamente;1;Accidente con víctimas exclusivamente;0;0;1;2021-08-10;"1:10";8;Agosto;2021;15;Navarra, Comunidad Foral de;31;Navarra;31077;Corella;NA-161;2.25;2;Descendente;2;Resto vías interurbanas;2;Autonómica;17;Zorro;1;Silvestre;-1.80368;42.10158;POINT (-1.80368 42.10158);2;Martes;Noche;3;0.0;20.5;36.0;0.0;Cultivos;253.54;0.851;"5219243";Diario;28.25;5263.0;90
202027120371;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2020-11-16;"19:05";11;Noviembre;2020;12;Galicia;27;Lugo;0;;LU-862;78.4;1;Ascendente;2;Resto vías interurbanas;2;Autonómica;8;Jabalí;1;Silvestre;-7.62844;43.70694;POINT (-7.62844 43.70694);1;Lunes;Noche;1;0.0;11.7;16.2;7.1;Monte arbolado de plantación;0.0;0.0;"7705930";Diario;13.95;7702.0;90
201609002890;1;Accidente de daños materiales exclusivamente;0;No es un accidente con víctimas exclusivamente;0;0;0;2016-11-29;"22:10";11;Noviembre;2016;8;Castilla y León;9;Burgos;0;;N-120;122.95;2;Descendente;2;Resto vías interurbanas;1;Estatal;8;Jabalí;1;Silvestre;-3.80397;42.34806;POINT (-3.80397 42.34806);2;Martes;Noche;0;0.0;-2.5;8.2;5.1;Cultivos;916.334;11.1615;"7705930";Diario;2.8499999999999996;14181.0;120
